taxon	min	max
Dolichoderinae	5.333	7.246
Dolichoderus	5.333	55.8
Dolichoderus_(Hypoclinea)_passalomma	33.9	38
Dolichoderus_antiquus	33.9	37.2
Dolichoderus_balticus	23.03	28.1
Dolichoderus_brevicornis	33.9	38
Dolichoderus_brevipalpis	33.9	38
Dolichoderus_brevipennis	33.9	38
Dolichoderus_bruneti	28.4	33.9
Dolichoderus_caribbaeus	13.82	20.44
Dolichoderus_coquandi	28.4	33.9
Dolichoderus_cornutus	33.9	38
Dolichoderus_dibolius	13.82	20.44
Dolichoderus_dlusskyi	41.3	47.8
Dolichoderus_elegans	33.9	38
Dolichoderus_evolans	11.608	15.97
Dolichoderus_explicans	28.4	33.9
Dolichoderus_granulinotus	33.9	38
Dolichoderus_heeri	11.608	12.7
Dolichoderus_jiaoyanshanensis	11.608	15.97
Dolichoderus_kohlsi	46.2	50.3
Dolichoderus_kutscheri	33.9	38
Dolichoderus_kutschlinicus	33.9	37.2
Dolichoderus_lacinius	11.608	15.97
Dolichoderus_longipennis	33.9	38
Dolichoderus_longipilosus	33.9	38
Dolichoderus_lucidus	33.9	38
Dolichoderus_luridivenosus	11.608	15.97
Dolichoderus_mesosternalis	33.9	38
Dolichoderus_nanus	33.9	38
Dolichoderus_obliteratus	23.03	33.9
Dolichoderus_oviformis	33.9	37.2
Dolichoderus_passalomma	33.9	38
Dolichoderus_perkovskyi	33.9	38
Dolichoderus_pilipes	33.9	38
Dolichoderus_polessus	33.9	38
Dolichoderus_polonicus	33.9	38
Dolichoderus_primitivus	13.82	20.44
Dolichoderus_prolaminatus	13.82	20.44
Dolichoderus_punctatus	33.9	38
Dolichoderus_robustus	33.9	38
Dolichoderus_rohweri	33.9	37.2
Dolichoderus_sculpturatus	33.9	38
Dolichoderus_tauricus	13.82	15.97
Dolichoderus_tertiarius	33.9	38
Dolichoderus_transversipetiolaris	11.608	15.97
Dolichoderus_vectensis	33.9	38
Dolichoderus_vexillarius	33.9	38
Dolichoderus_vlaskini	33.9	38
