taxon	min	max	subfamily
Myopopone_sinensis	15.97	20.44	Amblyoponinae
Mianeuretus_mirabilis	33.9	37.2	Aneuretinae
Protazteca_elongata	33.9	37.2	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Rhytidoponera_gibsoni	20.44	23.03	Ectatomminae
Titanomyrma_lubei	46.2	50.3	Formiciinae
Oecophylla_eckfeldiana	40.4	48.6	Formicinae
Myrmeciites	47.8	56.0	Myrmeciinae
Myrmecites_dubius	33.9	38.0	Myrmicinae
Ponerites_crawleyi	33.9	38.0	Ponerinae
Discothyrea_maya	15.97	23.03	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Cretomyrma_arnoldii	83.5	85.8	Sphecomyrminae
