taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Mianeuretus_mirabilis	33.9	37.2	Aneuretinae
Dolichoderus_evolans	15.97	20.44	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Pseudectatomma_striatula	40.4	48.6	Ectatomminae
Formicium_mirabile	41.3	47.8	Formiciinae
Lasius_oblongus	5.333	11.608	Formicinae
Archimyrmex_wedmannae	40.4	48.6	Myrmeciinae
Myrmecites_sibiricus	33.9	38.0	Myrmicinae
Cyrtopone_elongata	40.4	48.6	Ponerinae
Proceratium_gibberum	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Cretomyrma_unicornis	83.5	85.8	Sphecomyrminae
