taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Paraneuretus_dubovikoffi	33.9	38.0	Aneuretinae
Eurymyrmex_geologicus	15.97	20.44	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Gnamptogenys_levinates	13.82	20.44	Ectatomminae
Titanomyrma_lubei	46.2	50.3	Formiciinae
Formica_cockerelli	33.9	37.2	Formicinae
Archimyrmex_wedmannae	40.4	48.6	Myrmeciinae
Solenopsis_maxima	28.4	33.9	Myrmicinae
Ponerites_eocenicus	46.2	50.3	Ponerinae
Discothyrea_gigas	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Cretomyrma_arnoldii	83.5	85.8	Sphecomyrminae
