taxon	min	max	subfamily
Myopopone_sinensis	15.97	20.44	Amblyoponinae
Cananeuretus_occidentalis	70.6	83.5	Aneuretinae
Emplastus_antiquus	11.608	12.7	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Gnamptogenys_levinates	13.82	20.44	Ectatomminae
Formicium_mirabile	41.3	47.8	Formiciinae
Formica_pitoni	2.588	3.6	Formicinae
Avitomyrmex_systenus	47.8	56.0	Myrmeciinae
Nesomyrmex_dominicanus	13.82	20.44	Myrmicinae
Anochetus_brevidentatus	13.82	20.44	Ponerinae
Discothyrea_maya	15.97	23.03	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	93.5	99.6	Sphecomyrminae
