taxon	min	max	subfamily
Myopopone_sinensis	15.97	20.44	Amblyoponinae
Mianeuretus_eocenicus	46.2	50.3	Aneuretinae
Usomyrma_mirabilis	33.9	38.0	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Gnamptogenys_levinates	13.82	20.44	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Formica_auxillacensis	5.333	7.246	Formicinae
Avitomyrmex_systenus	47.8	56.0	Myrmeciinae
Temnothorax_praecreolus	13.82	20.44	Myrmicinae
Ponerites_gracilior	11.608	12.7	Ponerinae
Proceratium_petrosum	33.9	38.0	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	93.5	99.6	Sphecomyrminae
