taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Paraneuretus_dubovikoffi	33.9	38.0	Aneuretinae
Dolichoderus_kutschlinicus	33.9	37.2	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Pseudectatomma_eocenica	40.4	48.6	Ectatomminae
Titanomyrma_simillima	40.4	48.6	Formiciinae
Lasius_mordicus	15.97	20.44	Formicinae
Ypresiomyrma_bartletti	47.8	56.0	Myrmeciinae
Boltonidris_mirabilis	33.9	38.0	Myrmicinae
Platythyrea_pumilio	13.82	20.44	Ponerinae
Proceratium_gibberum	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_ferox	98.2	99.4	Sphecomyrminae
