taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Cananeuretus_occidentalis	70.6	83.5	Aneuretinae
Dolichoderus_transversipetiolaris	15.97	20.44	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Rhytidoponera_gibsoni	20.44	23.03	Ectatomminae
Titanomyrma_simillima	40.4	48.6	Formiciinae
Formica_longicollis	11.608	12.7	Formicinae
Prionomyrmex_wappleri	23.03	28.4	Myrmeciinae
Paraphaenogaster_hooleyana	33.9	38.0	Myrmicinae
Pachycondyla_petiolosa	40.4	48.6	Ponerinae
Proceratium_dominicanum	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Haidomyrmex_zigrasi	93.5	99.6	Sphecomyrminae
