taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Cananeuretus_occidentalis	70.6	83.5	Aneuretinae
Emplastus_gurnetensis	33.9	38.0	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Rhytidoponera_gibsoni	20.44	23.03	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Camponotus_ampullosus	15.97	20.44	Formicinae
Avitomyrmex_mastax	47.8	56.0	Myrmeciinae
Solenopsis_valida	28.4	33.9	Myrmicinae
Ponerites_tenuis	11.608	12.7	Ponerinae
Discothyrea_gigas	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_ferox	98.2	99.4	Sphecomyrminae
