taxon	min	max	subfamily
Myopopone_sinensis	15.97	20.44	Amblyoponinae
Mianeuretus_mirabilis	33.9	37.2	Aneuretinae
Technomyrmex_septentrionalis	15.97	20.44	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Pseudectatomma_eocenica	40.4	48.6	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Imhoffia_nigra	11.608	12.7	Formicinae
Ypresiomyrma_orientalis	33.9	38.0	Myrmeciinae
Boltonidris_mirabilis	33.9	38.0	Myrmicinae
Ponerites_umbrus	11.608	15.97	Ponerinae
Discothyrea_gigas	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	93.5	99.6	Sphecomyrminae
