taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Cananeuretus_occidentalis	70.6	83.5	Aneuretinae
Technomyrmex_deletus	5.333	11.608	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Pseudectatomma_eocenica	40.4	48.6	Ectatomminae
Titanomyrma_lubei	46.2	50.3	Formiciinae
Camponotus_novotnyi	28.1	33.9	Formicinae
Myrmeciites	47.8	56.0	Myrmeciinae
Aphaenogaster_donisthorpei	33.9	37.2	Myrmicinae
Protopone_magna	40.4	48.6	Ponerinae
Discothyrea_maya	15.97	23.03	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	93.5	99.6	Sphecomyrminae
