taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Mianeuretus_eocenicus	46.2	50.3	Aneuretinae
Miomyrmex_impactus	33.9	37.2	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Gnamptogenys_pristina	13.82	20.44	Ectatomminae
Formicium_mirabile	41.3	47.8	Formiciinae
Lasius_tertiarius	11.608	12.7	Formicinae
Myrmeciites	47.8	56.0	Myrmeciinae
Aphaenogaster_donisthorpei	33.9	37.2	Myrmicinae
Protopone_sepulta	40.4	48.6	Ponerinae
Proceratium_dominicanum	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_ferox	98.2	99.4	Sphecomyrminae
