taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Paraneuretus_dubovikoffi	33.9	38.0	Aneuretinae
Emplastus_kozlovi	33.9	38.0	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Ectatomma_gracile	5.333	11.608	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Camponotus_compactus	28.4	33.9	Formicinae
Myrmeciites_herculeanus	47.8	56.0	Myrmeciinae
Lonchomyrmex_freyeri	11.608	12.7	Myrmicinae
Ponerites_atavinus	11.608	12.7	Ponerinae
Proceratium_denticulatum	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	93.5	99.6	Sphecomyrminae
