taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Mianeuretus_mirabilis	33.9	37.2	Aneuretinae
Dolichoderus_vectensis	33.9	38.0	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Pseudectatomma_striatula	40.4	48.6	Ectatomminae
Formicium_mirabile	41.3	47.8	Formiciinae
Camponotus_fuscipennis	33.9	37.2	Formicinae
Avitomyrmex_mastax	47.8	56.0	Myrmeciinae
Aphaenogaster_dlusskyana	41.3	47.8	Myrmicinae
Anochetus_exstinctus	13.82	20.44	Ponerinae
Discothyrea_gigas	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Haidomyrmex_cerberus	93.5	99.6	Sphecomyrminae
