taxon	min	max	subfamily
Myopopone_sinensis	15.97	20.44	Amblyoponinae
Mianeuretus_eocenicus	46.2	50.3	Aneuretinae
Petraeomyrmex_minimus	33.9	37.2	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Rhytidoponera_waipiata	20.44	23.03	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Camponotites_silvestris	2.588	3.6	Formicinae
Myrmeciites_tabanifluviensis	47.8	56.0	Myrmeciinae
Boltonidris_mirabilis	33.9	38.0	Myrmicinae
Messelepone_leptogenoides	40.4	48.6	Ponerinae
Discothyrea_maya	15.97	23.03	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Haidomyrmex_cerberus	93.5	99.6	Sphecomyrminae
