taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Cananeuretus_occidentalis	70.6	83.5	Aneuretinae
Usomyrma_mirabilis	33.9	38.0	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Gnamptogenys_levinates	13.82	20.44	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Gesomyrmex_breviceps	40.4	48.6	Formicinae
Archimyrmex_rostratus	46.2	50.3	Myrmeciinae
Aphaenogaster_donisthorpei	33.9	37.2	Myrmicinae
Pachycondyla_lutzi	40.4	48.6	Ponerinae
Proceratium_poinari	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Haidomyrmex_cerberus	93.5	99.6	Sphecomyrminae
