taxon	min	max	subfamily
Myopopone_sinensis	15.97	20.44	Amblyoponinae
Paraneuretus_dubovikoffi	33.9	38.0	Aneuretinae
Yantaromyrmex_mayrianum	33.9	38.0	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Rhytidoponera_waipiata	20.44	23.03	Ectatomminae
Titanomyrma_lubei	46.2	50.3	Formiciinae
Camponotus_ullrichi	5.333	7.246	Formicinae
Avitomyrmex_systenus	47.8	56.0	Myrmeciinae
Biamomyrma_lata	33.9	38.0	Myrmicinae
Pachycondyla_minutansata	15.97	20.44	Ponerinae
Discothyrea_maya	15.97	23.03	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_ferox	98.2	99.4	Sphecomyrminae
