taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Paraneuretus_dubovikoffi	33.9	38.0	Aneuretinae
Liometopum_scudderi	33.9	37.2	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Ectatomma_gracile	5.333	11.608	Ectatomminae
Titanomyrma_lubei	46.2	50.3	Formiciinae
Oecophylla_eckfeldiana	40.4	48.6	Formicinae
Archimyrmex_rostratus	46.2	50.3	Myrmeciinae
Podomyrma_mayri	5.333	11.608	Myrmicinae
Cyrtopone_curiosa	40.4	48.6	Ponerinae
Proceratium_petrosum	33.9	38.0	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	93.5	99.6	Sphecomyrminae
