taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Mianeuretus_eocenicus	46.2	50.3	Aneuretinae
Protazteca_capitata	33.9	37.2	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Ectatomma_gracile	5.333	11.608	Ectatomminae
Titanomyrma_lubei	46.2	50.3	Formiciinae
Camponotus_pictus	15.97	20.44	Formicinae
Myrmeciites_goliath	47.8	56.0	Myrmeciinae
Aphaenogaster_amphioceanica	13.82	20.44	Myrmicinae
Anochetus_corayi	13.82	20.44	Ponerinae
Proceratium_dominicanum	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Haidomyrmex_cerberus	93.5	99.6	Sphecomyrminae
