specimen	min_ma	max_ma
Neivamyrmex_ectopus	13.82	20.44
Pseudectatomma_striatula	40.4	48.6
Lasius_tertiarius	11.608	12.7
Formica_kutscheri	33.9	38.0
Liometopum_miocenicum	33.9	37.2
Protomyrmica_atavia	33.9	38.0
Gesomyrmex_magnus	33.9	38.0
Gesomyrmex_bremii	11.608	12.7
Britaneuretus_anglicus	33.9	38.0
Emplastus_hypolithus	33.9	38.0
