specimen	min_ma	max_ma
Eulithomyrmex_striatus	33.9	38.0
Stigmatomma_groehni	40.4	48.6
Protaneuretus_succineus	93.5	99.6
Pseudarmania_rasnitsyni	89.8	93.9
Brownimecia_clavata	89.8	93.9
Zherichinius_rapax	70.6	83.5
Procerapachys_sulcatus	33.9	38.0
Rhytidoponera_waipiata	70.6	83.5
Titanomyrma_simillima	48.6	55.8
Zatania_electra	89.8	93.9
