specimen	min_ma	max_ma
Formica_primordialis	11.608	12.7
Procerapachys_favosus	33.9	38.0
Formica_surinamensis	33.9	38.0
Protazteca_hendersoni	33.9	37.2
Camponotus_longus	11.608	15.97
Oecophylla_atavina	33.9	38.0
Dolichoderus_longipilosus	33.9	38.0
Tapinoma_aberrans	33.9	38.0
Ctenobethylus_goepperti	28.4	33.9
Protaneuretus_succineus	33.9	38.0
